Date,Symbol,Close Price,Avg Entry Price,Quantity,PnL
2025-01-01,NATIONALUM.NS,209.66,210.67,23,-23.23
2025-01-01,NAVA.NS,500.0,495.13,10,48.7
2025-01-01,NITINSPIN.NS,447.0,433.95,11,143.55
2025-01-01,RANEHOLDIN.NS,1779.25,1748.91,3,91.02
2025-01-01,RPPINFRA.NS,195.26,194.0,25,31.5
2025-01-01,SRHHYPOLTD.NS,779.6,778.5,6,6.6
2025-01-01,SUKHJITS.NS,273.95,264.75,18,165.6
2025-01-01,TGVSL.BO,109.55,104.5,47,237.35
2025-01-01,VLSFINANCE.NS,342.8,334.58,14,115.08
2025-01-01,WELCORP.NS,812.7,802.8,6,59.4
2025-01-02,CEATLTD.NS,3186.05,3208.42,2,-44.74
2025-01-02,EIDPARRY.NS,918.4,868.5,5,249.5
2025-01-02,EMPIND.BO,1323.05,1275.0,4,192.2
2025-01-02,GHCL.NS,747.55,709.16,7,268.73
2025-01-02,GICRE.NS,451.85,443.4,10,84.5
2025-01-02,GSPL.NS,367.9,353.49,13,187.33
2025-01-02,HIMATSEIDE.NS,203.54,185.88,26,459.16
2025-01-02,HINDPETRO.NS,412.7,408.25,12,53.4
2025-01-02,INDIAGLYCO.NS,1299.45,1254.65,4,179.2
2025-01-02,KOTHARIPET.NS,197.41,187.95,25,236.5
2025-01-02,KOTHARIPRO.NS,97.98,99.13,48,-55.2
2025-01-02,MANGCHEFER.NS,162.36,154.36,31,248.0
2025-01-02,MAZDA.NS,309.88,298.61,15,169.05
2025-01-02,MONTECARLO.NS,802.75,810.82,6,-48.42
2025-01-02,NATIONALUM.NS,212.03,210.67,23,31.28
2025-01-02,NAVA.NS,501.02,495.13,10,58.9
2025-01-02,NITINSPIN.NS,438.9,433.95,11,54.45
2025-01-02,RANEHOLDIN.NS,1794.8,1748.91,3,137.67
2025-01-02,RPPINFRA.NS,197.72,194.0,25,93.0
2025-01-02,SRHHYPOLTD.NS,779.15,778.5,6,3.9
2025-01-02,SUKHJITS.NS,272.85,264.75,18,145.8
2025-01-02,TGVSL.BO,108.7,104.5,47,197.4
2025-01-02,VLSFINANCE.NS,347.05,334.58,14,174.58
2025-01-02,WELCORP.NS,820.5,802.8,6,106.2
2025-01-03,CEATLTD.NS,3185.25,3208.42,2,-46.34
2025-01-03,EIDPARRY.NS,907.65,868.5,5,195.75
2025-01-03,EMPIND.BO,1309.6,1275.0,4,138.4
2025-01-03,GHCL.NS,758.5,709.16,7,345.38
2025-01-03,GICRE.NS,457.7,443.4,10,143.0
2025-01-03,GSPL.NS,367.05,353.49,13,176.28
2025-01-03,HIMATSEIDE.NS,201.8,185.88,26,413.92
2025-01-03,HINDPETRO.NS,413.05,408.25,12,57.6
2025-01-03,INDIAGLYCO.NS,1316.0,1254.65,4,245.4
2025-01-03,KOTHARIPET.NS,201.07,187.95,25,328.0
2025-01-03,KOTHARIPRO.NS,97.9,99.13,48,-59.04
2025-01-03,MANGCHEFER.NS,173.01,154.36,31,578.15
2025-01-03,MAZDA.NS,318.57,298.61,15,299.4
2025-01-03,MONTECARLO.NS,784.45,810.82,6,-158.22
2025-01-03,NATIONALUM.NS,203.65,210.67,23,-161.46
2025-01-03,NAVA.NS,486.2,495.13,10,-89.3
2025-01-03,NITINSPIN.NS,431.6,433.95,11,-25.85
2025-01-03,RANEHOLDIN.NS,1787.0,1748.91,3,114.27
2025-01-03,RPPINFRA.NS,202.79,194.0,25,219.75
2025-01-03,SRHHYPOLTD.NS,782.0,778.5,6,21.0
2025-01-03,SUKHJITS.NS,271.3,264.75,18,117.9
2025-01-03,TGVSL.BO,107.85,104.5,47,157.45
2025-01-03,VLSFINANCE.NS,347.7,334.58,14,183.68
2025-01-03,WELCORP.NS,814.35,802.8,6,69.3
2025-01-06,CEATLTD.NS,3070.2,3208.42,2,-276.44
2025-01-06,EIDPARRY.NS,879.8,868.5,5,56.5
2025-01-06,EMPIND.BO,1240.75,1275.0,4,-137.0
2025-01-06,GHCL.NS,737.15,709.16,7,195.93
2025-01-06,GICRE.NS,435.05,443.4,10,-83.5
2025-01-06,GSPL.NS,358.55,353.49,13,65.78
2025-01-06,HIMATSEIDE.NS,184.74,185.88,26,-29.64
2025-01-06,HINDPETRO.NS,388.95,408.25,12,-231.6
2025-01-06,INDIAGLYCO.NS,1252.3,1254.65,4,-9.4
2025-01-06,KOTHARIPET.NS,188.97,187.95,25,25.5
2025-01-06,KOTHARIPRO.NS,93.19,99.13,48,-285.12
2025-01-06,MANGCHEFER.NS,164.88,154.36,31,326.12
2025-01-06,MAZDA.NS,308.29,298.61,15,145.2
2025-01-06,MONTECARLO.NS,735.95,810.82,6,-449.22
2025-01-06,NATIONALUM.NS,195.9,210.67,23,-339.71
2025-01-06,NAVA.NS,457.75,495.13,10,-373.8
2025-01-06,NITINSPIN.NS,405.1,433.95,11,-317.35
2025-01-06,RANEHOLDIN.NS,1704.55,1748.91,3,-133.08
2025-01-06,RPPINFRA.NS,192.65,194.0,25,-33.75
2025-01-06,SRHHYPOLTD.NS,762.9,778.5,6,-93.6
2025-01-06,SUKHJITS.NS,256.05,264.75,18,-156.6
2025-01-06,TGVSL.BO,107.95,104.5,47,162.15
2025-01-06,VLSFINANCE.NS,332.2,334.58,14,-33.32
2025-01-06,WELCORP.NS,774.2,802.8,6,-171.6
2025-01-07,CEATLTD.NS,3144.0,3208.42,2,-128.84
2025-01-07,EIDPARRY.NS,887.45,868.5,5,94.75
2025-01-07,EMPIND.BO,1261.35,1275.0,4,-54.6
2025-01-07,GHCL.NS,749.25,709.16,7,280.63
2025-01-07,GICRE.NS,452.65,443.4,10,92.5
2025-01-07,GSPL.NS,358.45,353.49,13,64.48
2025-01-07,HIMATSEIDE.NS,195.15,185.88,26,241.02
2025-01-07,HINDPETRO.NS,386.2,408.25,12,-264.6
2025-01-07,INDIAGLYCO.NS,1334.55,1254.65,4,319.6
2025-01-07,KOTHARIPET.NS,190.45,187.95,25,62.5
2025-01-07,KOTHARIPRO.NS,92.99,99.13,48,-294.72
2025-01-07,MANGCHEFER.NS,169.84,154.36,31,479.88
2025-01-07,MAZDA.NS,347.91,298.61,15,739.5
2025-01-07,MONTECARLO.NS,765.5,810.82,6,-271.92
2025-01-07,NATIONALUM.NS,201.57,210.67,23,-209.3
2025-01-07,NAVA.NS,479.12,495.13,10,-160.1
2025-01-07,NITINSPIN.NS,414.9,433.95,11,-209.55
2025-01-07,RANEHOLDIN.NS,1740.2,1748.91,3,-26.13
2025-01-07,RPPINFRA.NS,189.48,194.0,25,-113.0
2025-01-07,SRHHYPOLTD.NS,781.05,778.5,6,15.3
2025-01-07,SUKHJITS.NS,257.65,264.75,18,-127.8
2025-01-07,TGVSL.BO,111.65,104.5,47,336.05
2025-01-07,VLSFINANCE.NS,333.35,334.58,14,-17.22
2025-01-07,WELCORP.NS,797.2,802.8,6,-33.6
2025-01-08,CEATLTD.NS,3120.05,3208.42,2,-176.74
2025-01-08,EIDPARRY.NS,866.0,868.5,5,-12.5
2025-01-08,EMPIND.BO,1241.8,1275.0,4,-132.8
2025-01-08,GHCL.NS,719.7,709.16,7,73.78
2025-01-08,GICRE.NS,446.7,443.4,10,33.0
2025-01-08,GSPL.NS,351.25,353.49,13,-29.12
2025-01-08,HIMATSEIDE.NS,189.63,185.88,26,97.5
2025-01-08,HINDPETRO.NS,391.35,408.25,12,-202.8
2025-01-08,INDIAGLYCO.NS,1266.5,1254.65,4,47.4
2025-01-08,KOTHARIPET.NS,187.23,187.95,25,-18.0
2025-01-08,KOTHARIPRO.NS,92.12,99.13,48,-336.48
2025-01-08,MANGCHEFER.NS,169.35,154.36,31,464.69
2025-01-08,MAZDA.NS,367.83,298.61,15,1038.3
2025-01-08,MONTECARLO.NS,749.8,810.82,6,-366.12
2025-01-08,NATIONALUM.NS,200.11,210.67,23,-242.88
2025-01-08,NAVA.NS,470.12,495.13,10,-250.1
2025-01-08,NITINSPIN.NS,402.15,433.95,11,-349.8
2025-01-08,RANEHOLDIN.NS,1717.6,1748.91,3,-93.93
2025-01-08,RPPINFRA.NS,185.69,194.0,25,-207.75
2025-01-08,SRHHYPOLTD.NS,777.65,778.5,6,-5.1
2025-01-08,SUKHJITS.NS,257.7,264.75,18,-126.9
2025-01-08,TGVSL.BO,110.75,104.5,47,293.75
2025-01-08,VLSFINANCE.NS,331.25,334.58,14,-46.62
2025-01-08,WELCORP.NS,789.8,802.8,6,-78.0
2025-01-09,CEATLTD.NS,3115.15,3208.42,2,-186.54
2025-01-09,EIDPARRY.NS,845.8,868.5,5,-113.5
2025-01-09,EMPIND.BO,1226.9,1275.0,4,-192.4
2025-01-09,GHCL.NS,707.65,709.16,7,-10.57
2025-01-09,GICRE.NS,464.9,443.4,10,215.0
2025-01-09,GSPL.NS,350.35,353.49,13,-40.82
2025-01-09,HIMATSEIDE.NS,184.72,185.88,26,-30.16
2025-01-09,HINDPETRO.NS,384.8,408.25,12,-281.4
2025-01-09,INDIAGLYCO.NS,1261.55,1254.65,4,27.6
2025-01-09,KOTHARIPET.NS,183.38,187.95,25,-114.25
2025-01-09,KOTHARIPRO.NS,91.14,99.13,48,-383.52
2025-01-09,MANGCHEFER.NS,171.4,154.36,31,528.24
2025-01-09,MAZDA.NS,346.06,298.61,15,711.75
2025-01-09,MONTECARLO.NS,719.15,810.82,6,-550.02
2025-01-09,NATIONALUM.NS,195.11,210.67,23,-357.88
2025-01-09,NAVA.NS,462.02,495.13,10,-331.1
2025-01-09,NITINSPIN.NS,397.7,433.95,11,-398.75
2025-01-09,RANEHOLDIN.NS,1686.85,1748.91,3,-186.18
2025-01-09,RPPINFRA.NS,181.08,194.0,25,-323.0
2025-01-09,SRHHYPOLTD.NS,754.3,778.5,6,-145.2
2025-01-09,SUKHJITS.NS,251.35,264.75,18,-241.2
2025-01-09,TGVSL.BO,107.75,104.5,47,152.75
2025-01-09,VLSFINANCE.NS,323.1,334.58,14,-160.72
2025-01-09,WELCORP.NS,774.35,802.8,6,-170.7
2025-01-10,CEATLTD.NS,3084.2,3208.42,2,-248.44
2025-01-10,EIDPARRY.NS,818.6,868.5,5,-249.5
2025-01-10,EMPIND.BO,1178.45,1275.0,4,-386.2
2025-01-10,GHCL.NS,681.2,709.16,7,-195.72
2025-01-10,GICRE.NS,429.55,443.4,10,-138.5
2025-01-10,GSPL.NS,345.5,353.49,13,-103.87
2025-01-10,HIMATSEIDE.NS,179.49,185.88,26,-166.14
2025-01-10,HINDPETRO.NS,388.45,408.25,12,-237.6
2025-01-10,INDIAGLYCO.NS,1307.6,1254.65,4,211.8
2025-01-10,KOTHARIPET.NS,177.14,187.95,25,-270.25
2025-01-10,KOTHARIPRO.NS,88.73,99.13,48,-499.2
2025-01-10,MANGCHEFER.NS,164.52,154.36,31,314.96
2025-01-10,MAZDA.NS,393.98,298.61,15,1430.55
2025-01-10,MONTECARLO.NS,693.5,810.82,6,-703.92
2025-01-10,NATIONALUM.NS,198.03,210.67,23,-290.72
2025-01-10,NAVA.NS,445.1,495.13,10,-500.3
2025-01-10,NITINSPIN.NS,394.25,433.95,11,-436.7
2025-01-10,RANEHOLDIN.NS,1635.2,1748.91,3,-341.13
2025-01-10,RPPINFRA.NS,176.23,194.0,25,-444.25
2025-01-10,SRHHYPOLTD.NS,713.85,778.5,6,-387.9
2025-01-10,SUKHJITS.NS,244.35,264.75,18,-367.2
2025-01-10,TGVSL.BO,104.4,104.5,47,-4.7
2025-01-10,VLSFINANCE.NS,309.35,334.58,14,-353.22
2025-01-10,WELCORP.NS,755.5,802.8,6,-283.8
2025-01-13,CEATLTD.NS,3083.2,3208.42,2,-250.44
2025-01-13,EIDPARRY.NS,790.65,868.5,5,-389.25
2025-01-13,EMPIND.BO,1008.1,1275.0,4,-1067.6
2025-01-13,GHCL.NS,669.4,709.16,7,-278.32
2025-01-13,GICRE.NS,407.6,443.4,10,-358.0
2025-01-13,GSPL.NS,337.85,353.49,13,-203.32
2025-01-13,HIMATSEIDE.NS,168.36,185.88,26,-455.52
2025-01-13,HINDPETRO.NS,364.4,408.25,12,-526.2
2025-01-13,INDIAGLYCO.NS,1218.7,1254.65,4,-143.8
2025-01-13,KOTHARIPET.NS,168.82,187.95,25,-478.25
2025-01-13,KOTHARIPRO.NS,84.89,99.13,48,-683.52
2025-01-13,MANGCHEFER.NS,156.87,154.36,31,77.81
2025-01-13,MAZDA.NS,354.56,298.61,15,839.25
2025-01-13,MONTECARLO.NS,654.95,810.82,6,-935.22
2025-01-13,NATIONALUM.NS,187.6,210.67,23,-530.61
2025-01-13,NAVA.NS,420.88,495.13,10,-742.5
2025-01-13,NITINSPIN.NS,388.9,433.95,11,-495.55
2025-01-13,RANEHOLDIN.NS,1523.0,1748.91,3,-677.73
2025-01-13,RPPINFRA.NS,169.02,194.0,25,-624.5
2025-01-13,SRHHYPOLTD.NS,668.45,778.5,6,-660.3
2025-01-13,SUKHJITS.NS,237.8,264.75,18,-485.1
2025-01-13,TGVSL.BO,97.35,104.5,47,-336.05
2025-01-13,VLSFINANCE.NS,291.75,334.58,14,-599.62
2025-01-13,WELCORP.NS,720.0,802.8,6,-496.8
2025-01-14,CEATLTD.NS,3043.85,3208.42,2,-329.14
2025-01-14,EIDPARRY.NS,798.3,868.5,5,-351.0
2025-01-14,EMPIND.BO,1057.4,1275.0,4,-870.4
2025-01-14,GHCL.NS,691.45,709.16,7,-123.97
2025-01-14,GICRE.NS,423.3,443.4,10,-201.0
2025-01-14,GSPL.NS,347.65,353.49,13,-75.92
2025-01-14,HIMATSEIDE.NS,174.26,185.88,26,-302.12
2025-01-14,HINDPETRO.NS,373.25,408.25,12,-420.0
2025-01-14,INDIAGLYCO.NS,1293.15,1254.65,4,154.0
